"","sgUF","txNomeParlamentar","total.passageiros","total.vlrLiquido","gasto.medio.bilhete","quantidade.bilhetes"
"124","SP","ARLINDO CHINAGLIA",8,52188.73,984.693018867925,53
"125","SP","GILBERTO NASCIMENTO",8,29618.39,442.06552238806,67
"126","AC","FLAVIANO MELO",7,59515.54,1166.97137254902,51
"127","AM","ÁTILA LINS",7,35918.99,1330.33296296296,27
"128","BA","ERIVELTON SANTANA",7,30976.55,543.448245614035,57
"129","MA","SARNEY FILHO",7,23233.98,663.828,35
"130","MG","JÔ MORAES",7,77343.54,522.591486486486,148
"131","PA","JÚLIA MARINHO",7,38643.7,788.64693877551,49
"132","PA","NILSON PINTO",7,28167.46,599.307659574468,47
"133","PB","LUIZ COUTO",7,21239.41,624.688529411765,34
"134","PE","EDUARDO DA FONTE",7,47100.41,529.218089887641,89
"135","PE","GONZAGA PATRIOTA",7,17361.19,361.691458333333,48
